Question,Answer
Why is the "As on date" feature important?,It provides a reference date to check your leave balance or any other date-specific information.
What is "Leave Lapsed"?,This represents the number of leaves that were not utilized and have expired by the end of the year or period.
How do I use the "To Date" feature?,To Date denotes the ending day of your leave period.
How does "Leave Process" work?,This is the overall mechanism through which leave requests are processed and approved.
Why is "Validation Is Mandatory"?,This means that you need to ensure all necessary fields are correctly filled before submitting the leave request.
What does "Process Balance" indicate?,This shows the remaining leave balance after processing the latest leave request.
What does "Calculate leave used up to the above selected date only" mean?,"It ensures that HRMantra calculates leave only up to a specific date you've chosen, ignoring subsequent dates."
How is "Entitlement till date" determined?,This shows the total leave days you're entitled to up to the current date.
Where can I see my "Leave Balance"?,The "Leave Balance" feature displays the number of leaves you currently have remaining.
What does the "Stop" button do?,It allows users to halt any ongoing leave processing activity.
How does "Carry Forwarded" work?,This represents the number of leaves from the previous year or period that have been carried forward to the current period.
What is "Leave Name"?,"This refers to the type or category of leave, e.g., sick leave, casual leave, etc."
Where do I add "Remarks"?,You can add any additional comments or information about your leave in the "Remarks" section.
I received "Please define leave in leave master". What does it mean?,This message appears when a leave type isn't defined in HRMantra. Ensure that all leave types are correctly set up in the leave master.
How is "Balance as on date" different from "Available Leaves (As On Date)"?,"Balance as on date shows your leave balance on a specific date, whereas ""Available Leaves (As On Date)"" displays leaves you can avail as of a given date."
How is "Data as per Form M [Rule(4)]" different from "Generate data as per Form M [Rule(4)]"?,"The former displays the data, while the latter is an action button to generate the data based on Form M specifications."
What is "Manually Adjusted"?,This feature allows HR or admins to manually adjust the leave balance in special circumstances.
What does "Closing Balance" represent?,This indicates the number of leaves you have remaining at the end of a period or year.
How is "Leave Used" calculated?,It denotes the total leaves availed by an employee during a specified period.
How can I track my "Leave Used" over the year?,Leave Used is an accumulation of all the leaves you've availed during the year. It can be tracked through HRMantra's reporting and analytics features.
What's the difference between "Opening Balance" and "Closing Balance"?,"Opening Balance is the number of leaves you start with at the beginning of a period, while ""Closing Balance"" is what remains at the end after all leaves taken and accrued are considered."
Is "Carry Forwarded" automatically calculated?,"Yes, ""Carry Forwarded"" leaves are auto-calculated based on unused leaves from the previous period and the policies set by your organization."
How do I know the limit for "Carry Forwarded" leaves?,The limit for "Carry Forwarded" leaves is defined by your organization's leave policy. You can consult the HR department or refer to the policy document in HRMantra.
Why do I need to provide "Remarks" when applying for a leave?,"While ""Remarks"" might be optional, they offer an opportunity to give additional context or reasons for your leave, which can be helpful for approval processes."
Can I edit the "Leave Name" once it's defined in HRMantra?,Only administrators or HR personnel can modify the "Leave Name" once it's been defined in the leave master.
I made an error in "Manually Adjusted" leaves. How can I rectify it?,"Any manual adjustments should be carefully done. If an error occurs, consult with your HR or system administrator to make necessary corrections."
Can "Leave Lapsed" be reclaimed or used later?,"Leave Lapsed means those leaves are no longer available for use. However, specific policies may allow exceptions based on the organization's discretion."
What happens if I don't use all my leaves by year-end?,"Depending on your organization's leave policy, unused leaves might either lapse, get carried forward to the next year, or a combination of both."
How frequently is the "Leave Process" page updated?,The "Leave Process" page is updated in real-time or as soon as any transaction related to leave occurs.
Why am I unable to select certain "Leave Names" from the dropdown?,Some leaves might have prerequisites or may only become available after a certain period of employment. Ensure you meet all criteria for that specific leave type.
What is the significance of "Balance as on date"?,"Balance as on date provides you a snapshot of your leave balance on a particular day, helping you plan leaves accordingly without affecting future leave plans."
How do I interpret the "Data as per Form M [Rule(4)]"?,This data adheres to Form M specifications as mandated by Rule(4). It's essential to understand the guidelines associated with Form M to interpret the data accurately.
What action should I take when I see "Validation Is Mandatory"?,"Ensure all required fields are filled out correctly. Missing or incorrect information will prevent leave processing, so it's crucial to validate all entries."
How does the "Stop" function work in the leave process?,The "Stop" function allows you to halt any ongoing leave calculation or processing temporarily. It's useful if you detect an error or need to make adjustments.
Can I adjust leaves that are "Manually Adjusted"?,"Yes, but  , this requires specific permissions or roles like HR or system administrator. Always ensure that the reason for adjustment is documented for transparency."
Why do I need to "Please define leave in leave master"?,This message indicates that HRMantra requires certain leave types to be predefined in the leave master. It ensures standardization and consistency in processing leave requests.
How do "Entitlement till date" and "Leave Balance" differ?,"Entitlement till date represents the total leave you've earned or accumulated up to a specific date, while ""Leave Balance"" displays your remaining leaves after considering those availed."
How is "Closing Balance" determined?,"Closing Balance is the resultant leave count at the end of a period after considering all taken leaves, accrued leaves, lapsed leaves, and any other adjustments."
How does HRMantra handle discrepancies in "Leave Used" and actual leaves taken?,HRMantra relies on accurate data input. Any discrepancies should be reported to HR or HRMantra administrator for correction. Regular audits can also help ensure data accuracy.
Can I apply for a leave that exceeds my "Leave Balance"?,"While you can apply, approval depends on your organization's leave policy. Some organizations may allow negative balances, but it could lead to deductions or adjustments in future leave accruals. Always consult with HR before taking such actions."
How does "Carry Forwarded" impact my "Opening Balance" for the next year?,"The ""Carry Forwarded"" leaves from the current year are added to your ""Opening Balance"" for the next year, subject to the maximum carry-forward limit set by your organization's leave policy. It allows employees to benefit from unused leaves."
What does the "Entry from Manual page" feature do?,"The ""Entry from Manual page"" feature allows users to input leave details manually, providing greater flexibility for unique or special cases."
How do I use the "Leave Days To" feature?,Leave Days To is used to specify the end date of the leave period you are searching for. Just select or input the desired date.
What's the difference between "No" and "Yes" options?,No and "Yes" are options you can choose based on specific criteria in the leave search. The exact context can vary based on where and when these options are used.
How do I set the "Application date"?,The "Application date" feature allows you to input or select the date on which the leave application was made.
How does the "Select All" feature work?,Select All lets you choose all the records displayed on the current page. It's a shortcut to avoid selecting records individually.
What does "As Per The Weekdays" mean?,"As Per The Weekdays ensures that the leave calculation only considers regular working days, excluding weekends or other non-working days."
How can I "Get Leave Adjustment Record"?,"Click on the ""Get Leave Adjustment Record"" button to retrieve records of any adjustments made to the leave, such as compensatory offs or corrections."
What's the purpose of "Leave Days From"?,Leave Days From lets you specify the start date of the leave period you're searching for.
What does "Pending With" indicate?,Pending With shows the name or designation of the person with whom the leave application is currently pending approval.
How do I use the "Leave Search Engine"?,The "Leave Search Engine" is the main search tool. Input your criteria and hit search to retrieve relevant leave records.
What's the "Download Excel" feature for?,Download Excel lets you export the displayed leave records into an Excel file for offline access or further analysis.
What can I find under "See More"?,See More provides additional details or context about a particular record or field. It's useful when the initial display has limited information.
Why am I seeing "Validation Is Mandatory"?,This message indicates that certain fields are mandatory and must be filled out or selected before proceeding.
Who is the "Applicant"?,The "Applicant" field displays the name of the employee who has applied for the leave.
How do I use "Filter Criteria"?,"Filter Criteria lets you refine your search based on specific parameters, ensuring that the results are more aligned with what you're looking for."
Why am I prompted with "Please select leave to date"?,This prompt appears when the "Leave Days To" field is left empty but is required for the current search or action.
What's the "Display Criteria"?,Display Criteria allows you to select which columns or fields you want displayed in the results.
Why am I prompted with "Please select leave from date"?,This prompt appears when the "Leave Days From" field is left empty but is required for the current search or action.
Why am I seeing "Please select at least one leave"?,This prompt indicates that you need to select at least one leave record from the displayed list before proceeding with a particular action.
How do I set the "Leave Application Criteria"?,Leave Application Criteria is a set of fields or options you need to fill out or select to refine your leave search.
What is "Leave From Date"?,Leave From Date is the starting date of the leave period in question.
What is meant by "Leave Remarks Like"?,Leave Remarks Like is a search feature that lets you find leave records based on specific keywords or phrases in the leave remarks or notes.
How is "Leave To Date" different from "Leave Days To"?,"Leave To Date is the end date of the leave period, while ""Leave Days To"" might refer to the total number of days till the end date from the start date."
What is "Other Criteria"?,"Other Criteria encompasses any additional filters or fields not covered under the main search criteria, allowing for a more refined search."
How do I use the "Show Leaves Applied On" feature?,"This feature lets you display leaves based on the application date, helping you see when an employee applied for leave."
What does "Total Records" display?,"Total Records shows the total number of leave records that match your search criteria, whether they're displayed on the current page or across multiple pages."
How can I sort my search results?,Use the "Display Criteria" to select the desired order of display. Certain columns may also have clickable headers for sorting purposes.
Can I see the history of modifications made to a leave application?,"Yes, by using the ""Get Leave Adjustment Record"" feature, you can view any adjustments or modifications made to a particular leave application."
How accurate is the "Leave Search Engine"?,"The ""Leave Search Engine"" is highly accurate, pulling from the database based on the criteria you've set. Ensure your filter criteria is set appropriately for best results."
Is there a limit to the number of leave records I can download using "Download Excel"?,"The download limit might depend on system settings or configurations. , all displayed results can be exported. Check with system admin for any restrictions."
Can I get a brief overview of a specific leave application?,"Yes, by clicking on ""See More"" next to a specific leave entry, you can get a more detailed view or overview of that application."
What should I do if a mandatory field is missed during the leave application?,"If ""Validation Is Mandatory"" appears, review the form and fill in all mandatory fields to proceed."
Can I search for leaves of a specific applicant?,"Yes, use the ""Applicant"" field in the ""Filter Criteria"" to specify the employee's name or ID you want to search for."
How can I customize the fields that appear in my search results?,Use the "Display Criteria" option to select or deselect fields based on your preference. This adjusts the columns displayed in your search results.
Can I modify the date range of a leave after it has been applied?,"Depending on user privileges, you may or may not be able to adjust dates. If changes are needed, use the ""Leave From Date"" and ""Leave To Date"" fields or contact HR."
How do I interpret the remarks on a leave application?,Use the "Leave Remarks Like" field to search and review remarks. These   provide additional context or reasons for the leave application.
Can I perform a multi-criteria search?,"Yes, you can use multiple fields in the ""Filter Criteria"", ""Other Criteria"", and ""Leave Application Criteria"" to refine your search to specific needs."
How do I see leaves applied for in the past month?,Set the "Leave From Date" to the start of the past month and "Leave To Date" to the end of the past month in the search criteria.
What should I do if I face issues with the "Leave Search Engine"?,"Check if all mandatory fields are filled. If issues persist, contact your system administrator or the support team for assistance."
Is there a way to see the total number of leave days applied for within a given period?,The difference between "Leave From Date" and "Leave To Date" gives the duration. "Total Records" can also give insights into the number of leave applications.
Can I save my search criteria for future use?,"Depending on system features, you may be able to save search criteria as templates or presets. Check with the software documentation or support for this functionality."
Is it possible to bulk approve leave applications?,"Use the ""Select All"" feature to select multiple applications, then proceed with bulk actions as per software functionality and user privileges."
How do I know if a leave application is still pending or has been approved?,"Look for the status of the leave application, or use the ""Pending With"" feature to see where the application is currently in the approval process."
Can I search for leave applications based on remarks or notes?,"Yes, use the ""Leave Remarks Like"" field in the search criteria to find leave applications based on specific keywords or notes."
Can I view a summary of all leave applications for a specific period?,"Using the ""Leave From Date"" and ""Leave To Date"" criteria, you can view leave applications for any specific period. The ""Total Records"" might give a summary count."
Is there a way to view leave applications pending with a specific supervisor or manager?,Use the "Pending With" feature and input the supervisor's or manager's name or ID to see applications pending with them.
How do I export my search results to Excel?,"After setting your search criteria and getting the results, click on the ""Download Excel"" button to export the results to an Excel sheet."
How often is the "Leave Search Engine" updated?,"The search engine pulls real-time data from the database, so it reflects the latest information each time you conduct a search."
Can I use the "Leave Search Engine" on mobile devices?,Yes
How do I view my leaves?,Navigate to the "My Leaves" page. All your leaves will be listed there.
Can I filter leaves by date?,"Yes, use the date filter option on the ""My Leaves"" page to view leaves within a specific period."
How do I apply for a leave?,"On the ""My Leaves"" page, click on the ""Apply"" button and fill out the required details."
Can I edit a leave once applied?,"Yes, select the leave entry and use the ""Edit"" option to make changes."
How can I delete a leave application?,Select the desired leave entry and click the "Delete" option.
How do I check the status of my leave application?,The status of each leave is displayed next to the leave entry on the "My Leaves" page.
Can I see the reason for leave rejection?,"Yes, clicking on the rejected leave will provide details including the reason for rejection."
How many types of leaves can I apply for?,The types of leaves available are defined in the "Leave Configuration." Check there for details.
Can I see my leave balance?,"Yes, the ""My Leaves"" page displays your remaining leave balance."
How is my leave balance calculated?,Leave balance is based on the leave policies set in "Leave Configuration."
Can I carry forward unused leaves?,This depends on the policies set in the "Leave Configuration." Check there for details.
How do I know if my leave has been approved?,Approved leaves will have the status "Approved" on the "My Leaves" page.
Can I apply for half-day leave?,"Yes, select the ""Half-Day"" option when applying for leave on the ""My Leaves"" page."
How can I view leaves taken in a specific month?,Use the date filter on the "My Leaves" page to view leaves for a specific month.
Who approves my leaves?,"The approval authority is set in the ""Leave Configuration.""   , it's your reporting manager."
Can I attach documents to my leave application?,"Yes, there's an option to attach relevant documents when applying for leave."
How soon will my leave be approved?,Approval times vary. Check with your reporting manager or HR for specifics.
Can I apply for leave in advance?,"Yes, you can apply for leaves for future dates."
How many leaves can I apply for at once?,The maximum number of leaves you can apply for is based on your leave balance and policies set in "Leave Configuration."
Is there a grace period for applying for leaves?,"Grace periods, if any, are defined in the ""Leave Configuration."""
Can I see a history of all my leaves?,"Yes, the ""My Leaves"" page lists all your past and upcoming leaves."
Are weekends counted in my leave days?,This depends on the policies set in "Leave Configuration."
What happens if I fall sick during my leave?,You can modify your leave application and attach a medical certificate for validation.
Can I split my leave into separate periods?,"Yes, while applying, specify the different periods you wish to take leave."
How do I know how many leaves I'm entitled to?,Your entitled leaves are displayed as your leave balance on the "My Leaves" page.
Can I cancel a leave after it's been approved?,"Yes, go to the leave entry and select the ""Cancel"" option."
What if my leave balance runs out?,"You may not be able to apply for more leaves or may have to apply for unpaid leave, based on ""Leave Configuration"" policies."
Can I apply for leave during probation?,This depends on the policies set in the "Leave Configuration."
Is my leave balance updated in real-time?,"Yes, the ""My Leaves"" page reflects your current leave balance."
Can I apply for more than one type of leave at once?,"Yes, while applying, select multiple leave types if needed."
What if I have an emergency and need to extend my leave?,Edit your existing leave application and specify the reason for the extension.
How do I know the start and end date of my leave?,The start and end dates are displayed next to each leave entry on the "My Leaves" page.
Is there a maximum limit for consecutive leaves?,This depends on the policies set in the "Leave Configuration."
Can I view leaves taken by my team members?,", only managers or HR can view team members' leaves. Check your user permissions."
How do I know if my leave coincides with a public holiday?,Public holidays are   marked on the company calendar. Check there before applying.
Can I apply for leave during a notice period?,This depends on the policies set in the "Leave Configuration."
How do I know how many leaves I've taken this year?,Use the date filter on the "My Leaves" page to view leaves taken during a specific period.
Can I convert casual leave to sick leave?,This depends on the policies set in the "Leave Configuration."
What if I don't use all my leaves?,Unused leaves may be carried forward or lapse based on "Leave Configuration" policies.
How are leaves calculated for part-time employees?,Leave entitlement for part-time employees is defined in the "Leave Configuration."
Can I apply for backdated leaves?,This depends on the policies set in the "Leave Configuration."
How do I view rejected leave applications?,Rejected leaves are marked with the status "Rejected" on the "My Leaves" page.
Can I reapply for a rejected leave?,"Yes, you can create a new leave application if your previous one was rejected."
How are leaves calculated for employees who join mid-year?,This is    prorated based on the joining date and policies in the "Leave Configuration."
Can I apply for leave during training periods?,This depends on the policies set in the "Leave Configuration."
How do I know if my leave is paid or unpaid?,The type of leave (paid or unpaid) is mentioned when you apply and is based on "Leave Configuration" policies.
Can I apply for leave on a weekend?,This depends on the policies set in the "Leave Configuration."
How are leaves managed during company shutdowns?,Company shutdown policies are defined in the "Leave Configuration."
Can I apply for maternity/paternity leave through "My Leaves"?,"Yes, if maternity/paternity leave is configured in the ""Leave Configuration,"" you can apply through ""My Leaves."""
Can I check the history of edited or cancelled leaves?,"This feature depends on system settings.   , an audit trail or history is maintained for transparency."
How do I configure the month for annual leave?,"To configure the month for annual leave, navigate to the ""Month"" feature on the ""Annual Leave"" page and select the desired month from the dropdown menu."
What is the purpose of the "Purpose List"?,"The ""Purpose List"" allows you to define and categorize different reasons for annual leave, making it easier to track and manage leave requests."
How do I add a new purpose to the "Purpose List"?,"To add a new purpose, click on the ""Add"" button in the ""Purpose List"" feature and enter the desired purpose name."
Can I edit a purpose in the "Purpose List"?,"Yes, to edit a purpose, click on the ""Edit"" button next to the desired purpose in the list, make your changes, and save."
How is the "Annual Leave" feature different from the "Month" feature?,"The ""Annual Leave"" feature allows you to set the number of annual leave days an employee is entitled to, while the ""Month"" feature determines the month in which the leave year begins."
How do I set the number of annual leave days for an employee?,"Navigate to the ""Annual Leave"" feature, enter the desired number of leave days in the provided field, and save your changes."
Can I configure annual leave to be accrued monthly?,"Yes, using the ""Month"" feature, you can set the start month for annual leave accrual, allowing employees to accumulate leave on a monthly basis."
What happens if an employee doesn't use all their annual leave?,"Depending on your company's leave policy, unused annual leave may be carried over to the next year, or it may expire. Please refer to your company's leave policy for specifics."
Can I delete a purpose from the "Purpose List"?,"Yes, to delete a purpose, click on the ""Delete"" button next to the desired purpose in the list."
How do I view an employee's remaining annual leave?,Navigate to the "Annual Leave" feature and search for the employee's name. Their remaining annual leave will be displayed in the respective column.
Can I configure annual leave for part-time employees?,"Yes, the ""Annual Leave"" feature allows you to set leave entitlements based on an employee's employment status, including part-time."
Is there a limit to the number of purposes I can add to the "Purpose List"?,"No, there's no predefined limit. You can add as many purposes as needed to categorize annual leave reasons."
Can employees request leave for a purpose not listed in the "Purpose List"?,"Yes, employees can request leave for other reasons, but having predefined purposes helps in better categorizing and managing leave requests."
How do I reset annual leave entitlements for a new year?,"Navigate to the ""Annual Leave"" feature, select the employees for whom you want to reset entitlements, and use the ""Reset"" option."
Can I import/export leave configurations?,"Depending on your software's capabilities, there may be features to import or export leave configurations. Please refer to the software documentation for specifics."
Can I set different annual leave entitlements for different employee grades or levels?,"Yes, using the ""Annual Leave"" feature, you can customize leave entitlements based on employee grades or levels."
How do I handle leave requests that span across two leave years?,HRMantra will automatically deduct the days from the respective leave years based on the leave start and end dates.
Is there a way to set maximum consecutive leave days?,"Depending on your software's capabilities, You will be able to set limits on consecutive leave days under the ""Annual Leave"" settings."
How do I handle public holidays when calculating annual leave?,Public holidays are    not counted as annual leave days. Ensure your leave settings exclude public holidays from the leave count.
Can I customize the notification settings for leave requests?,"Yes, navigate to the notification settings section of your software to customize how and when notifications for leave requests are sent."
How do I handle situations where multiple employees request leave for the same period?,"This is    managed based on company policy, priority, or on a first-come-first-serve basis. The software may provide tools to view overlapping leave requests."
Can I view annual leave trends or patterns for the company?,"Depending on your software's reporting capabilities, you may be able to generate reports to view leave trends over specific periods."
How do I handle sick leave within the "Annual Leave" page?,The "Annual Leave" page is primarily for managing annual leave. Sick leave might have its own separate configuration page or settings.
Is there an audit trail for changes made in the "Annual Leave" configurations?,HRMantra software provides audit trails for configuration changes. Check the logs or history section to view changes made.
Can employees view their leave balance and history?,"Yes, employees    have access to view their own leave balance and history, depending on the permissions set in the software."
What happens if an employee takes more leave than they are entitled to?,"Over-leave situations are    flagged by HRMantra. The company can then decide on the course of action based on its policy (e.g., unpaid leave)."
How do I configure carry-over rules for unused leave?,Navigate to the "Annual Leave" settings to configure rules for carrying over unused leave to the next year.
Is there a way to configure mandatory leave days for all employees?,"Yes, under the ""Annual Leave"" settings, you can set mandatory leave days that apply to all employees."
How do I backdate leave for an employee?,"Navigate to the ""Annual Leave"" feature, find the employee's record, and adjust the leave dates as needed. Ensure you have the necessary permissions to make such changes."
Can I set a waiting period before new employees become eligible for annual leave?,"Yes, under the ""Annual Leave"" settings, you can configure a waiting period for new hires before they start accruing leave."
How do I manage unpaid leave within the "Annual Leave" configurations?,The "Annual Leave" page is for paid leave configurations. Unpaid leave might have its own separate settings or be managed differently.
Can I configure half-day or hourly leave?,"Depending on your software's capabilities, You will be able to set leave in half-day or hourly increments under the ""Annual Leave"" settings."
How do I set up leave for employees on probation?,Employees on probation might have different leave entitlements. Navigate to the "Annual Leave" settings to configure leave for this specific employee group.
Can I set a notification for when an employee's leave balance is low?,"Yes, under the notification settings, you can configure alerts for when an employee's leave balance reaches a certain threshold."
How do I handle leave encashment?,Leave encashment has its own separate configuration
Can I view a calendar of all employees' leave?,HRMantra software provides a calendar view where you can see all scheduled leave for employees. Navigate to the relevant section to view this.
How do I configure leave for shift workers?,Navigate to the "Annual Leave" settings to configure leave based on shifts or working hours. Ensure your settings align with company policy.
Can I set a minimum notice period for leave requests?,"Yes, under the ""Annual Leave"" settings, you can configure a minimum notice period for submitting leave requests."
How do I integrate the "Annual Leave" configurations with other modules?,"Depending on your software, there might be integration tools or settings to link the ""Leave"" module with other modules like ""Payroll"" or ""Attendance""."
Can I set automatic approval for certain leave requests?,"Yes, under the ""Annual Leave"" settings, you can set criteria for leave requests to be automatically approved, such as requests below a certain number of days."
How do I configure leave for temporary or contract employees?,Navigate to the "Annual Leave" settings to set up leave configurations specifically for temporary or contract employees.
Can I set different leave entitlements based on years of service?,"Yes, under the ""Annual Leave"" settings, you can configure leave entitlements that scale based on an employee's years of service."
How do I handle maternity or paternity leave?,Maternity and paternity leave might have separate configurations or be managed under a different section than "Annual Leave". Refer to your software for specifics.
Is there a way to set blackout dates where no leave can be taken?,"Yes, under the ""Annual Leave"" settings or calendar, you can set specific dates as blackout dates where leave requests are not allowed."
Can I set a maximum cap for annual leave accumulation?,"Yes, within the ""Annual Leave"" feature, you can specify a maximum limit for annual leave accumulation. Any accrued leave beyond this limit may not be carried over or might be forfeited, based on your settings."
What do I do if an employee's leave configuration needs exceptions?,Navigate to the "Annual Leave" feature. You can customize and override default settings for specific employees if they require unique configurations or exceptions.
Can I set different annual leave accrual rates for different employee grades?,"Yes, the ""Annual Leave"" feature allows you to configure leave accrual rates based on employee grades or roles. This ensures flexibility in managing leave policies for different employee groups."
How can I view historical annual leave data for an employee?,"In the ""Annual Leave"" section, there should be a history or logs feature that lets you view historical annual leave data, including leave taken, accrued, and any modifications."
Is it possible to set automatic reminders for employees nearing their maximum leave accrual?,"Depending on your software's capabilities, you can set up automatic notifications or reminders for employees who are nearing or have reached their maximum leave accrual limit."
How do I handle leave encashment within the "Annual Leave" feature?,"If your software supports leave encashment, navigate to the ""Annual Leave"" feature, and there should be an option to process leave encashment based on the number of unused leave days and the employee's salary."
"Can I integrate the ""Annual Leave"" configuration with other HR modules, such as payroll?","Yes,   , HCM software allows for integration between the ""Leave"" module and other HR modules like payroll. This ensures seamless processing of leave-related payouts or deductions."
How do I submit a leave request for my team member?,Go to the "My Team Leaves" page and click on the "Submit" button. Fill out the required details and submit.
What is the "Escalation Remarks" feature?,Escalation Remarks allows managers or team leads to add comments or feedback regarding a particular leave request that needs escalation.
How can I add remarks to a leave request?,Click on the "Leave Remarks" option next to the relevant leave request and input your comments or feedback.
What does "Leave Days" indicate?,Leave Days displays the number of days an employee has requested off.
How can I check the status of a leave request?,The "Status" column on the "My Team Leaves" page will show the current status of each leave request.
How do I view all the leave requests of my team members?,"Go to the ""My Team Leaves"" page. Here, you'll see a list of all leave requests made by your team members."
What information does "Leave From Date" provide?,Leave From Date indicates the starting date of the requested leave period.
Can I know the type of leave a team member has applied for?,"Yes, the ""Leave Name"" column will display the type of leave (e.g., sick leave, vacation, etc.) requested by the team member."
Where can I see the end date of a team member's leave?,The "Leave To Date" column displays the end date of the requested leave period.
How do I filter leave requests based on their status?,"Use the ""Select Status"" dropdown to filter leave requests by their status (e.g., approved, pending, rejected)."
How do I forward a leave request to another manager or team lead?,Click on the "Send To" option next to the relevant leave request and select the person you want to forward it to.
Can I modify a leave request after submitting it?,"Once a leave request is submitted, it cannot be modified directly. However, you can cancel the request and submit a new one with the required changes."
How do I know if a leave request requires my attention?,Any leave request that requires your attention will be highlighted or marked with a notification icon on the "My Team Leaves" page.
Can I add additional remarks to a leave request after its approval or rejection?,"Yes, you can add additional ""Leave Remarks"" or ""Escalation Remarks"" even after the leave request has been processed."
What do the different "Status" values indicate?,"The ""Status"" can be ""Pending"" (awaiting approval), ""Approved"" (granted), or ""Rejected"" (denied)."
Can I see the leave balance of my team members?,"While the ""My Team Leaves"" page primarily displays leave requests, the leave balance can be viewed in the detailed profile of each team member or in the leave summary report."
How do I reject a leave request?,"Click on the respective leave request and select the ""Reject"" option. Optionally, you can add remarks explaining the reason for rejection."
Can I approve multiple leave requests at once?,"Depending on your software's functionality, You will have a bulk approval feature. If so, select multiple leave requests and choose the ""Bulk Approve"" option."
How do I know who forwarded a particular leave request to me?,The "Sent By" or "Forwarded By" column (if available) will indicate who forwarded the leave request to you.
What should I do if I mistakenly approve a leave request?,"Reach out to your HR or admin team to rectify the mistake. Depending on the software, You will also have the option to revert the approval."
How do I know the reason for a leave request?,Check the "Leave Remarks" section for the reason provided by the team member when submitting the leave request.
Can I set a maximum limit for leave days?,"Leave limits are    set in the main leave configuration settings. If you have the necessary permissions, you can set or modify leave limits there."
How do I forward a leave request to someone not on the default list in "Send To"?,"You may need to manually add or search for the person's name in the ""Send To"" option, or check with your HR or admin team for assistance."
Can I see a history of all actions taken on a leave request?,"Depending on your software's features, there may be a ""History"" or ""Audit Trail"" option that shows all actions and remarks associated with a leave request."
How do I know if a leave request is escalated?,"Leave requests that are escalated might be highlighted, or they might have a specific status like ""Escalated"" displayed in the ""Status"" column."
Can I set automatic escalations for leave requests?,Automatic escalations are    set in the main leave configuration settings. Check there or consult your HR or admin team.
How do I know the total number of leaves taken by a team member in a specific period?,This information might be available in leave summary reports or in the detailed profile of each team member.
Can I download the list of leave requests from the "My Team Leaves" page?,"Depending on your software's features, there may be an ""Export"" or ""Download"" option on the ""My Team Leaves"" page."
How do I know if a leave request overlaps with other team members' leaves?,Some software provides a team calendar view where you can visually see if multiple team members have requested leave for the same period.
Can I set a rule where only a certain number of team members can take leave on the same day?,Such rules are    set in the main leave configuration settings. Check there or consult your HR or admin team.
How do I search for a specific leave request?,Use the search bar or filters available on the "My Team Leaves" page to find a specific leave request.
Can I categorize leave requests based on leave types?,"Yes, you can use the ""Leave Name"" filter to categorize or view leave requests based on their type."
How do I set default approvers for leave requests?,Default approvers are    set in the main leave configuration settings. Check there or consult your HR or admin team.
Can I see a graphical representation of leave trends in my team?,"Depending on your software, there might be a dashboard or reports section where you can view graphical representations of leave trends."
How do I know if a leave request has been automatically approved due to a set rule?,"The ""Status"" might show ""Auto-Approved"" or a similar status, and the ""Remarks"" section might have a note indicating the rule based on which it was approved."
Can I customize the view of the "My Team Leaves" page?,"Depending on the software's flexibility, You will have the option to customize columns, filters, and the overall view of the page."
How do I set reminders for pending leave requests?,Reminders are    set in the main leave configuration settings. Check there or consult your HR or admin team.
Can I see leave requests from previous years?,"Yes, use the date filters on the ""My Team Leaves"" page to view leave requests from previous years."
How do I know if a leave request has been modified after submission?,"Check the ""History"" or ""Audit Trail"" of the leave request to see all actions, including modifications."
Can I assign a proxy or delegate for approving leave requests in my absence?,Some software allows you to set a proxy or delegate for approvals. Check the settings or consult your HR or admin team.
How do I cancel an approved leave request?,"Click on the respective leave request and select the ""Cancel"" or ""Revert"" option. Optionally, you can add remarks explaining the reason for cancellation."
How do I know the impact of a leave request on a project or task?,You may need to refer to your project management tool or consult with the respective project manager to understand the impact.
Can I integrate the "My Team Leaves" page with other tools or calendars?,"Depending on your software's capabilities, there may be options to integrate with other tools or sync with calendars. Check the settings or consult your IT team."
How do I set up notifications for leave requests?,Notifications are    set in the main leave configuration settings. Check there or consult your HR or admin team.
Can I see the holiday list while approving leave requests?,Some software provides a side-by-side view of the holiday list or highlights public holidays in the calendar view on the "My Team Leaves" page.
How do I differentiate between half-day and full-day leave requests?,"The ""Leave Days"" column might show ""0.5"" for half-day requests and ""1"" for full-day requests. Alternatively, there might be a specific column or tag indicating this."
Can I set priority levels for leave requests?,Setting priority levels is    done in the main leave configuration settings. Check there or consult your HR or admin team.
How do I know if a team member has exceeded their leave balance?,This information might be highlighted on the "My Team Leaves" page or available in leave summary reports.
Can I see a reason for leave rejection?,Check the "Leave Remarks" or "Escalation Remarks" section for the reason provided by the approver for rejecting the leave request.
How do I contact a team member regarding their leave request?,"Some software provides a direct messaging or email option from the ""My Team Leaves"" page. Alternatively, you can contact the team member using your organization's preferred communication tool."
How do I use the "Select Purpose" feature?,The "Select Purpose" feature allows you to choose the reason for the leave. Simply click on the dropdown and select the relevant purpose for your leave.
What are "Legends" in the Leave Calendar?,"Legends provide visual cues for different types of leaves on the calendar, making it easier to understand the leave status at a glance."
How can I change the "Select Period Name"?,"Use the ""Select Period Name"" dropdown to choose the desired period (e.g., monthly, quarterly) for which you want to view the leave calendar."
Can I view leaves of specific employees?,"Yes, use the ""Employees"" feature to select and view leaves of specific employees or groups."
How do I navigate through the "Leave Calendar"?,The "Leave Calendar" displays leaves for the selected period. Use the arrows or date selectors to navigate through different periods.
